id,title,artist_name,genres,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
10176,Feel Good Inc.,Gorillaz,pop,,,/mxl/2/54/QmcyYsLG18mJDuTiJcn6iK9vHMjuzLj4ATCTSSe9K78G19.mxl,English,0.842741935483871,418.0,496.0,1.1019184652278178,4.167913999935465,26.787784164833404,2.7194244604316546,116.0,0.27751196172248804
10177,There's salvation full and free,Misc Traditional,folk,,,/mxl/2/28/QmckpK1thzjsSVrKXgCipd9VgumG1VwjsqjcjiDew1W88F.mxl,English,0.45588235294117646,31.0,68.0,0.5887850467289719,0.4090853949203604,27.13178294573643,2.7663551401869158,17.0,0.5483870967741935
10178,Eigenbrook,Misc Traditional,folk,,,/mxl/2/28/QmckMviwaUphePRmjMzh5WzqvoV3SQ4z4JzxtKFAADhD6P.mxl,,,,,,,,,,
10179,evolution of Music,Pentatonix,pop,,,/mxl/2/25/QmcirY5MzfZVYgeqzngycTjP5mUKXMUo3uSik5mRpsiPxr.mxl,English,0.8909952606635071,564.0,633.0,1.103019538188277,1.4239554979448787,26.625070160864453,3.3960923623445827,177.0,0.31382978723404253
10180,On Christmas Night - Version 4,Misc Traditional,folk,,,/mxl/2/25/Qmcix4KHgknPAEqRajJAgUQWfXnKRaZeBoxHgtDxM7DxXR.mxl,English,0.6989247311827957,65.0,93.0,1.375,0.5448623679425842,24.456168831168824,2.7265625,28.0,0.4307692307692308
10181,Ar Det Sant,Misc Traditional,folk,,,/mxl/2/55/QmcYhEQAnkE2bmWMWSEBpBZ2GFEHnv73PGNasYXHWecPRv.mxl,English,0.125,4.0,32.0,0.6590909090909091,0.497410650641802,36.36363636363636,1.977272727272727,4.0,1.0
10182,MEDITATION (Erickson),Misc Traditional,folk,,,/mxl/2/43/QmcSuuE8V5KeHUDmynQYFFQ7vPpYPVqEX4kigcwi4k5LqM.mxl,English,0.5,26.0,52.0,0.6066666666666667,0.4603863112165212,42.17687074829933,3.8666666666666667,17.0,0.6538461538461539
10183,Ye Angels Whose Harmonious Strains,Misc Traditional,folk,,,/mxl/2/43/QmcS5cNjx2CuW8CbF3YYstWxxKJ3VLjtBvLJrkyrf8tx6k.mxl,English,1.3409090909090908,59.0,44.0,0.6896551724137931,0.24700946175680022,21.111849390919147,6.206896551724139,24.0,0.4067796610169492
10184,speak softly love,Andy Williams,pop,,,/mxl/2/43/QmcSyh5ZnrH88965GK6YYt61haUeRSfj6VDvqZpXuvFZpY.mxl,German,1.8176470588235294,309.0,170.0,0.5046153846153846,0.45921251520650885,31.477184289432458,3.076923076923077,95.0,0.3074433656957929
10185,land of the silver birch,Misc Traditional,folk,,,/mxl/2/43/QmcSxc38N2YPzi8wpQACLnMycPTDrwCuTcUeq4fJMJZSbV.mxl,English,0.6944444444444444,50.0,72.0,1.346938775510204,1.084228690541999,33.74149659863944,6.326530612244898,24.0,0.48
10186,tu scendi dalle stelle,Misc Traditional,folk,,,/mxl/2/31/QmcmsuNAdqEzBYVNDtqqvhDNhQRf2eWT2Jya2aW4eUejJT.mxl,Italian,0.6666666666666666,124.0,186.0,1.443089430894309,4.842311503746862,28.60670194003536,3.5569105691056913,42.0,0.3387096774193548
10187,Hark! Hear Ye Not The Angel Song,Misc Traditional,folk,,,/mxl/2/52/QmcxDirnCnJbFssL2yewn2LbQirxyKetYHmeeGmLykuBSA.mxl,English,0.71875,69.0,96.0,1.3823529411764706,0.5081515453873822,13.529411764705884,2.764705882352941,23.0,0.3333333333333333
10188,tuonne taakse metsämaan,Misc Traditional,folk,,,/mxl/2/8/Qmc9submqKdSCTWopPTc61tFzePYo9ZViyttLHDvqhiBdy.mxl,Finnish,0.9375,60.0,64.0,1.0508474576271187,0.5016491046423304,15.230125523012553,3.864406779661017,29.0,0.48333333333333334
10189,let the games begin,AJR,pop,,,/mxl/2/8/Qmc9svHWsktwvXv3DLxnXxMXVztCXeKek6o5eXuXCeDHD2.mxl,English,0.6607142857142857,296.0,448.0,1.465346534653463,7.147266325830614,20.205094642104683,1.8349834983498334,80.0,0.2702702702702703
10190,this night has opened my eyes,The Smiths,rock,,,/mxl/2/8/Qmc9SGo4GS1oY1P5or948t9wPDhJuAuBCWSXAGrdVjJZzz.mxl,English,0.7716049382716049,250.0,324.0,1.0763052208835342,2.7372235195208945,22.400354431153186,2.1365461847389557,88.0,0.352
10191,La Java du Diable,Charles Trenet,pop,,,/mxl/2/8/Qmc9LX5t27dsYeGANQNYYfsJRD7HTbhtctVXhhBwD7fYeq.mxl,French,1.4076086956521738,259.0,184.0,0.6937984496124031,0.5442977038213496,14.897749006914847,1.2674418604651163,76.0,0.29343629343629346
10192,O Bride of Christ Rejoice,Misc Traditional,folk,,,/mxl/2/47/QmcUE5jGCwfkSSgzUCSUpyACtqaLxhLLrNE7DLrtJGNADY.mxl,German,0.8333333333333334,40.0,48.0,1.1794871794871795,0.4998356074261005,6.837606837606836,,11.0,0.275
10193,total eclipse of the heart,Bonnie Tyler,rock,,,/mxl/2/47/QmcUjcAij5qrD1f6Ehz1u6koDqKQ8FsXpw8eGu8QP9cSHk.mxl,English,1.3142857142857143,506.0,385.0,0.7425742574257426,3.1447849816989897,26.506481819781175,1.2000000000000002,125.0,0.24703557312252963
